作品ID,作品名称,发布时间,链接,点赞,评论,分享
7678337188798797930,不要害怕，什么都不要害怕！没有只跌不涨的行情！#七王爷,2026-08-26 21:49:50 CST,https://www.iesdouyin.com/share/video/7678337188798797930/?region=US&mid=7678337190258150180&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=pShmb5NS6ByKoyTCpwXOevwFbqaiB7ktnVgHw5MnKK0-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,8443,1967,206
7678317199156619749,利空➕影响较小#七王爷,2026-08-26 20:32:16 CST,https://www.iesdouyin.com/share/video/7678317199156619749/?region=US&mid=0&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=u.TTSy7gc.BoytbfOs5trBgDmC9FkydjDHVTbhh4XXg-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,3117,1138,111
7678300834870028665,晚间PCE数据也相当重要，大家仓位近期思路都不考虑只买不卖，这样真心不行！除非950以下的仓位暂时适合拿住#七王爷,2026-08-26 19:28:46 CST,https://www.iesdouyin.com/share/video/7678300834870028665/?region=US&mid=7678300827169065768&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=UJ7QbHVKTC.eGwyHhpBmX0._yar_PbAZFnkLcVuOuDM-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,8074,1131,318
7678257682390627771,我也不知道为什么准成这样，应该是我最近给我爸爸，祭拜了！愿我的粉丝每天都能赚到！在我给的区间找低点进，拉高出高点！😘#七王爷,2026-08-26 16:41:18 CST,https://www.iesdouyin.com/share/video/7678257682390627771/?region=US&mid=7678070135709535026&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=4yvMT94xoaOcDY.lRYP0Y51m9.qEB4I3pSEdUXY0kYk-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,3392,905,67
7678180083610643067,在行情波动比较大的时候，多看少动，不要有被挂了！保护好自己的本，留的青山在不怕没财烧！人要学会保护自己！ 没有底的就不接，有底的才考虑！底仓保留#七王爷,2026-08-26 11:40:11 CST,https://www.iesdouyin.com/share/video/7678180083610643067/?region=US&mid=7678180109110545179&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=yUZa3v4hZAYWszsKOTn7RKUtasi0SF3On.QFpyc0VYI-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,10421,1550,616
7678018174813673210,从来不删除作品，最近频繁作品被嘎～ 大家相互传播下，如果第一时间看见作品要点赞，自己记下重要的事，或者看不到去“外婆家找我”#七王爷 晚安,2026-08-26 01:11:54 CST,https://www.iesdouyin.com/share/video/7678018174813673210/?region=US&mid=7484404081415572234&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=FqCfbEtgHoG2MJOtS3BmIPTM9tWCElccM9BTt8UZU.U-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,3187,734,19
7677998235735008326,大家辛苦了！我不邀功，因为能跟上肯定是财运好！对比？ 我个人997出货了在1004！因为我还有937 940 993底仓！#七王爷,2026-08-25 23:54:33 CST,https://www.iesdouyin.com/share/video/7677998235735008326/?region=US&mid=7226669718801894205&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=VFqS81mKvyE8FMOvaQcbBk0NSNOqhnFE1XMViPeLCPY-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,3062,678,50
7677984808542534330,不要说我的视频没通知，视频➕社群同步通知！ 我个人（937-940-993-997）四层了，准备出掉997！#七王爷,2026-08-25 23:02:25 CST,https://www.iesdouyin.com/share/video/7677984808542534330/?region=US&mid=7562832171375790858&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=sj5lk70q13Pv4qjA0c..UEnPBPXZEwGW7tZORVPAYMI-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,3099,732,71
7677890081230828145,手把手教大家看日内#七王爷,2026-08-25 16:54:50 CST,https://www.iesdouyin.com/share/video/7677890081230828145/?region=US&mid=7677890011811384107&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=H2yshISCXasfCKqt4O185ef9Pw64gZ02EOoOZc4o1kA-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,8779,1979,375
7677854143084276090,虽然所有仓位长期看没有危险，但是交易做的是细节！而不是靠情绪去拖动.#七王爷,2026-08-25 14:35:23 CST,https://www.iesdouyin.com/share/video/7677854143084276090/?region=US&mid=7677854123768695567&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=bGxY9fokpZ6W1jqj11ErOQIOkuIankyqpMFh0KGzIYc-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,7783,2157,254
7677801073125997297,现在开始给大家做风险提示🔔市场反复，不具备单边大涨条件#七王爷,2026-08-25 11:09:27 CST,https://www.iesdouyin.com/share/video/7677801073125997297/?region=US&mid=7677801038581189426&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=di90arSS9mWb0BYlNrU4aguyc1QUlpCGtNvqnPiRJZ0-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,8365,1301,935
7677645636254081875,接下来看是否有回马枪，今晚凌晨的消息面非常重要！还有周三的PCE数据📊大家重点关注#七王爷,2026-08-25 01:06:18 CST,https://www.iesdouyin.com/share/video/7677645636254081875/?region=US&mid=7677645519061060406&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=jA8dBaShgHz3MPFFkTiFPkuOs3fpZxBn_BDMMpvLCs8-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,8523,2173,316
7677569181105280698,回复 @用调羹吃面的评论 接下来也不惯着谁了！看不惯的一概拉黑，捆绑我要我我的一概拉黑！大家也不要对黑粉客气，不要安慰我了！#七王爷,2026-08-24 20:09:34 CST,https://www.iesdouyin.com/share/video/7677569181105280698/?region=US&mid=7419353992847394816&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=xFR16PWFaKDmHHKHPnkn48usb12q3oi7MWBq4DYnHb4-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,8249,2147,85
7677490187655534180,很多伙伴不知道怎么对比保留底仓！现在消息面推动，在震荡上行，看不到顶部的时候，你要对比自己手上的仓位，看哪个仓位更低，你要学会开始保留优秀的底部仓位了！ 这样拉涨的时候，你手上才有……版本过低，升级后可展示全部信息,2026-08-24 15:03:03 CST,https://www.iesdouyin.com/share/video/7677490187655534180/?region=US&mid=7543394304501385994&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=HhWZwowsAGxp9WtpB2SzurTntJfpUrof8VJ8nD7z23o-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,3122,700,38
7677484870356066411,只要你视频跟得紧的，手里都会有937-940的底仓！ 我上午在997加了一层防踏空仓！#七王爷,2026-08-24 14:42:25 CST,https://www.iesdouyin.com/share/video/7677484870356066411/?region=US&mid=7677484849304750898&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=DUH1xmgsYHpsUuSXSwFElnUyepXaaqeexAVGCdaNjgw-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,6977,1245,284
7677214882429598905,记得逐步震荡向上的行情，记得保留底仓#七王爷,2026-08-23 21:14:43 CST,https://www.iesdouyin.com/share/video/7677214882429598905/?region=US&mid=7677214889080884002&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=O2QaR1wGRTPFIIP8IO.1MP8UBwqh5et7uJbf9M9TPWk-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,14669,2983,1051
7676459532801576619,今晚4600多空决战！#七王爷,2026-08-21 20:23:34 CST,https://www.iesdouyin.com/share/video/7676459532801576619/?region=US&mid=7663761196809653043&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=5_8I8Q0zWP1N7j5SwiPTAAEpe2d4uK211M8pjhifUDw-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,7007,3246,164
7676350575030190954,黄金市场忽高忽低，有时候耐心比操作更重要，稳住心态才有好运气#七王爷#尼雅葡萄酒,2026-08-21 16:40:06 CST,https://www.iesdouyin.com/share/video/7676350575030190954/?region=US&mid=7676350508680055592&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=G7_L0HoXOgV_VMSc3y0l6zGMVu3fU53C6cU1k8vBTIM-&share_version=0&ts=1787996655&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,7874,1968,278
7676383078278232246,再说一次，不准给我红包谁发拉黑谁😂 怎么叫都叫不应啊，你们老七老交易能养活自己捏！ 除非你们每个人都在1200上方赚钱解套！ 不然我还没资格收任何人的“投喂” 我还恨不得给你们发红……版本过低，升级后可展示全部信息,2026-08-21 15:26:53 CST,https://www.iesdouyin.com/share/video/7676383078278232246/?region=US&mid=6694240267685333771&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=lTrn7XEpkOLUh42peLajqSZFrPkS3HgWvMIGqpxL4Ls-&share_version=0&ts=1787996654&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,4346,969,45
7676363922408912233,全民都想从W 变成M！一起来许愿#天赋一饼的交易员 #七王爷,2026-08-21 14:12:34 CST,https://www.iesdouyin.com/share/video/7676363922408912233/?region=US&mid=7676363890460412713&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=hQMWaFolNMVLKTR_NUF3yPWHEMi4H_t.56tWASR5NFg-&share_version=0&ts=1787996654&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,7184,2838,174
7676357974079735430,投资看周期回报率！#七王爷,2026-08-21 13:49:30 CST,https://www.iesdouyin.com/share/video/7676357974079735430/?region=US&mid=7548324133969431335&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=ttkThRSZlHOZq0p25t2jv83LblYn.jCOcJZCe3LTinw-&share_version=0&ts=1787996657&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,4064,416,169
7676347011008650874,我不受任何人红包，金价不涨到1200我不会考虑做抖音会员！谢谢大家，而且关于转账这件事大家不要在互联网上给任何人转账！谢谢大家配合！我做交易自己能养活自己，不需要投喂哈！真正做交易……版本过低，升级后可展示全部信息,2026-08-21 13:06:56 CST,https://www.iesdouyin.com/share/video/7676347011008650874/?region=US&mid=7605263184181627690&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=Eal8DByozvZHTkwbAjUFJKwUioC1b4S3Y5L4.mpBGcs-&share_version=0&ts=1787996657&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,4215,830,41
7676300244825045375,昨天凌晨三点行情就起来了！多空现在博弈非常厉害，大家看今天是否还有机会吧，有就上，没有就不上，因为今天周五，我还不是特别想让大家抗单过周末.#七王爷,2026-08-21 10:05:29 CST,https://www.iesdouyin.com/share/video/7676300244825045375/?region=US&mid=7675990332559166218&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=U4IPrJPE8OZqx.F7J2KO9EiVr20FfoaIGA5hPOFY3hs-&share_version=0&ts=1787996657&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,6806,1378,356
7676120006748433913,什么事都不要急，手牵手成为合格交易员#七王爷,2026-08-20 22:26:02 CST,https://www.iesdouyin.com/share/video/7676120006748433913/?region=US&mid=7605263184181627690&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=ZH.NoeLcwQlI4IvCgc_Xyw7FfjBmxNnSd0a3X3IjLiI-&share_version=0&ts=1787996657&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,5300,1253,117
7676094041343837587,请拿出无所吊谓的精神出来！#七王爷,2026-08-20 20:45:17 CST,https://www.iesdouyin.com/share/video/7676094041343837587/?region=US&mid=7674521175191604031&u_code=16bah2718&did=MS4wLjABAAAAgDQbitRTDSdo2ngCCE692lcnhDuxa7oy99O-8xe4VJhJ8VH0yDt0vXiGp2vl892b&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=N2V0bVF2Clec_zJA1sgOxMArq2LRLadyXPvgF9gmj4c-&share_version=0&ts=1787996657&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D,5116,1331,74
